@relation whatever

@attribute Component0 numeric
@attribute type {'0','1'}


@data
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
0,1
1,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
1,1
1,1
0,1
0,1
1,1
1,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
0,1
1,1
0,1
1,1
1,1
0,1
1,1
0,1
1,1
1,1
0,1
0,1
1,1
1,1
0,1
1,1
1,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
1,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
0,1
0,1
1,1
1,1
0,1
1,1
1,1
0,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
0,1
1,1
0,1
1,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
1,1
0,1
1,1
0,1
1,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
1,1
1,1
0,1
1,1
1,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
0,1
1,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
1,1
1,1
0,1
0,1
1,1
0,1
1,1
0,1
0,1
1,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
